protocol=2 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key3676, key4841) size=1
SCAN [key3500, key4329) size=1
SCAN [key369, key8573) size=8
SCAN [key4795, key6358) size=3
SCAN [key3635, key8538) size=17
SCAN [key7427, key8188) size=3
SCAN [key5772, key7609) size=5
SCAN [key4957, key8626) size=4
SCAN [key2823, key6712) size=4
SCAN [key5664, key8053) size=7
SCAN [key5984, key7710) size=6
SCAN [key2559, key4190) size=4
SCAN [key1330, key9678) size=38
SCAN [key5019, key744) size=10
SCAN [key5299, key9681) size=21
SCAN [key6241, key9130) size=12
SCAN [key4628, key5153) size=1
SCAN [key4357, key7955) size=19
SCAN [key2172, key2745) size=0
SCAN [key260, key7908) size=41
SCAN [key1203, key6260) size=42
SCAN [key1906, key9021) size=38
SCAN [key1887, key366) size=8
SCAN [key2389, key9585) size=46
SCAN [key7453, key7965) size=0
SCAN [key366, key6377) size=31
SCAN [key1336, key609) size=50
SCAN [key527, key8988) size=29
SCAN [key2145, key748) size=40
GET key9772 => value47013
SCAN [key3768, key9070) size=4
SCAN [key3113, key4661) size=2
SCAN [key3606, key4645) size=5
SCAN [key1523, key1678) size=2
SCAN [key3800, key4230) size=1
SCAN [key6291, key9111) size=19
SCAN [key2267, key3924) size=10
SCAN [key7212, key8480) size=8
SCAN [key3668, key4801) size=12
SCAN [key1525, key1827) size=3
SCAN [key7715, key7958) size=1
SCAN [key2826, key4713) size=25
SCAN [key6922, key9169) size=22
SCAN [key478, key483) size=0
SCAN [key6483, key6512) size=0
SCAN [key463, key5169) size=8
SCAN [key5431, key5978) size=8
GET key5125 => value88736
SCAN [key555, key65) size=15
SCAN [key7249, key8052) size=4
SCAN [key3713, key9892) size=95
